Draw,Date,WN1,WN2,WN3,WN4,WN5,WN6,Extra Number ,From Last,Same As Day,Odd,Even, 1-10, 11-20, 21-30, 31-40, 41-50,Division 1 Winners,Division 1 Prize,Division 2 Winners,Division 2 Prize,Division 3 Winners,Division 3 Prize,Division 4 Winners,Division 4 Prize,Division 5 Winners,Division 5 Prize,Division 6 Winners,Division 6 Prize,Division 7 Winners,Division 7 Prize,Turnover
19/038,4/2/2019,6,10,15,21,24,28,49,15,,2,4,2,1,3,0,0,2,18427630,1,2278240,142.5,53290,232,9600,6290.2,640,6516,320,108683.9,40,62126741
19/037,3/30/2019,15,17,18,37,39,49,31,17,,5,1,0,3,0,2,1,0,0,1,2414840,75,85860,182,9600,3551.4,640,4426.4,320,68127.2,40,47875528
19/036,3/28/2019,3,5,17,23,41,44,40,3,,5,1,2,1,1,0,2,0,0,3,792220,63,100600,137.5,9600,3446,640,4301.4,320,70721.1,40,46559924
19/035,3/26/2019,2,3,10,21,31,35,11,10,,4,2,3,0,1,2,0,0.5,26735420,6.5,345010,76,78680,351.7,9600,4520.4,640,9468,320,86126.8,40,54025291
19/034,3/23/2019,10,11,15,39,46,49,21,,,4,2,1,2,0,1,2,0,0,2,1067810,47,121170,183.5,9600,3242.7,640,5726.5,320,66681.9,40,44411661
19/033,3/21/2019,7,12,22,32,37,45,47,,,3,3,1,1,1,2,1,0,0,2,953700,95.5,53260,172.5,9600,3978.5,640,4941.5,320,73156.2,40,42006379
19/032,3/19/2019,4,18,23,38,40,46,15,23,,1,5,1,1,1,2,1,0.5,15756940,2,1176430,57,110070,151.5,9600,3352.4,640,4207.4,320,64732.9,40,45875409
19/031,3/16/2019,5,9,12,23,31,43,29,43,,5,1,2,1,1,1,1,0,0,0.5,1396700,107.5,34640,173,9600,4038.5,640,5235.3,320,67027.3,40,34878023
19/030,3/14/2019,4,10,25,28,40,43,39,,,2,4,2,0,2,1,1,1,23215520,8,305240,88,73990,158.5,9600,3710.7,640,4536.3,320,74193.4,40,48529402
19/029,3/12/2019,6,21,27,33,38,47,46,,,4,2,1,0,2,2,1,0,0,1,2197350,84,69750,167.5,9600,4398.5,640,4441,320,78946.9,40,46481276
19/028,3/9/2019,13,32,34,35,41,46,30,,,3,3,0,1,0,3,2,0,0,2.5,706320,72,65400,136,9600,3291.7,640,4187.4,320,52354,40,36634886
19/027,3/7/2019,8,15,17,23,39,44,40,,,4,2,1,2,1,1,1,0.5,8000000,2,937540,52,96150,92,9600,2736.7,640,3115.7,320,54554.8,40,36205355
19/026,3/5/2019,10,16,28,32,34,49,45,,,1,5,1,1,1,2,1,1,14621280,1,2207090,61.5,95700,134.5,9600,3233.3,640,4274.5,320,64018.7,40,43441300
19/025,3/3/2019,21,24,26,35,44,47,8,24,,3,3,0,0,3,1,2,0,0,2,1009090,42,128130,156.5,9600,2480,640,4097.6,320,48721.4,40,39138745
19/024,2/28/2019,22,24,25,30,32,43,11,,,2,4,0,0,4,1,1,1,22009110,2.5,978920,96,67980,182,9600,4328.9,640,6038.1,320,76690.1,40,50826751
19/023,2/26/2019,9,12,13,19,21,46,15,"13,21",,4,2,1,3,1,0,1,0,0,2,1111200,66.5,89110,168,9600,4341.2,640,5502.9,320,86124.3,40,47922981
19/022,2/23/2019,13,14,15,21,33,49,1,49,,5,1,0,3,1,1,1,0,0,2,921500,52,94510,172,9600,2493,640,4740.4,320,51593.7,40,37646852
19/021,2/21/2019,16,29,36,39,42,49,34,16,,3,3,0,1,1,2,2,1,8000000,0,0,68,76340,133,9600,3150,640,3964.5,320,57968.3,40,39151016
19/020,2/19/2019,2,5,8,13,16,33,41,8,,3,3,3,2,0,1,0,2,9456870,2,992510,244,21690,263,9600,8435.3,640,5852.9,320,124304.5,40,54279391
19/019,2/16/2019,3,7,8,17,19,23,12,8,,5,1,3,2,1,0,0,0,0,8,165680,175.5,20140,633.2,9600,7452,640,12472.6,320,110653,40,44956024
19/018,2/14/2019,5,8,16,20,43,46,11,,,2,4,2,2,0,0,2,0,0,0.5,1964380,55.5,94380,174,9600,3234,640,4922.9,320,64379,40,41262549
19/017,2/12/2019,9,17,26,31,32,40,27,,,3,3,1,1,1,3,0,1,8000000,3,712930,76,75040,179.5,9600,3357.5,640,4904.4,320,62975.6,40,43758050
19/016,2/9/2019,1,19,29,34,39,49,43,"19,29",,5,1,1,1,1,2,1,6,16661140,19.5,426780,2470,19200,1437,9600,43397,640,30893.2,320,481568.8,40,295210446
19/015,2/6/2019,2,4,11,15,19,29,1,19,,4,2,2,3,1,0,0,0,0,5,238450,116.5,27290,430.2,9600,4764.3,640,10338.3,320,75011.5,40,40438840
19/014,2/3/2019,5,6,13,19,34,35,39,,,4,2,2,2,0,2,0,1,57113160,2,2259450,157.9,76310,342,9600,9286.7,640,10279.7,320,165382.6,40,96735350
19/013,1/31/2019,18,22,26,31,33,41,27,,31,3,3,0,1,2,2,1,0,0,6.5,491550,127,67080,316.5,9600,6825,640,8134.2,320,120932.9,40,70840561
19/012,1/29/2019,3,10,14,24,32,45,29,"14,45",,2,4,2,1,1,1,1,0,0,3,1059880,82,103400,189.5,9600,4487.9,640,6163.5,320,89523.7,40,62109172
19/011,1/26/2019,14,27,29,41,45,46,21,"41,46",,4,2,0,1,2,0,3,0,0,4.5,564250,45,150460,142,9600,2944,640,4370.2,320,57281,40,47294425
19/010,1/24/2019,11,18,33,41,43,46,36,33,,4,2,0,2,0,1,3,0,0,1,2293390,42.5,143890,137.5,9600,2916.5,640,4525.5,320,61296,40,44236976
19/009,1/22/2019,3,19,25,30,33,48,44,,,4,2,1,1,2,1,1,0,0,0,0,50,103170,128.5,9600,3242,640,3608.5,320,65297.7,40,39346968
19/008,1/19/2019,13,24,31,34,44,47,8,,,3,3,0,1,1,2,2,2,11627890,3,765870,114.5,53510,214,9600,4040.5,640,5708.8,320,69701.6,40,48310598
19/007,1/17/2019,16,18,28,35,36,41,37,16,,2,4,0,2,1,2,1,0,0,3.5,624610,75.5,77210,174.5,9600,3627,640,4659.4,320,65190.4,40,44649754
19/006,1/15/2019,10,16,17,33,44,48,7,"10,48",,2,4,1,2,0,1,2,0,0,0,0,49,98190,150,9600,2569,640,4331.7,320,49354.5,40,36414274
19/005,1/13/2019,10,18,35,37,48,49,27,,,3,3,1,1,0,2,2,1,16750570,3.5,656920,62,98890,200.5,9600,3760,640,5244.4,320,72156.8,40,47666641
19/004,1/10/2019,6,7,28,31,36,43,23,,,3,3,2,0,1,2,1,0.5,19705660,3,745290,74,80570,214.4,9600,4297,640,5965.6,320,81804,40,48832550
19/003,1/8/2019,4,5,12,23,30,40,10,"12,23",,2,4,2,1,2,1,0,0,0,4.5,370220,87.5,50770,371.5,9600,4683.3,640,9811.2,320,80449.2,40,46530412
19/002,1/5/2019,12,13,16,19,23,45,2,"23,45",,4,2,0,4,1,0,1,0,0,1,1570090,41.5,100880,196.5,9600,2943.1,640,4666.1,320,54330.6,40,35071980
19/001,1/3/2019,8,23,25,30,32,45,24,,,3,3,1,0,3,1,1,1.5,56073510,10.5,765400,311,68910,750,9600,16038.5,640,22276.2,320,295264.1,40,176446163
18/149,12/30/2018,6,7,13,33,35,46,43,35,,4,2,2,1,0,2,1,0,0,3,892540,80,89250,241.5,9600,5047.1,640,6287.5,320,96070.2,40,57443763
18/148,12/27/2018,1,4,17,22,23,35,37,,,4,2,2,1,2,1,0,0,0,0,0,80.5,72990,170,9600,4489.8,640,4749.5,320,81979.4,40,47126979
18/147,12/25/2018,2,14,16,32,41,47,23,,,2,4,1,2,0,1,2,0,0,0,0,59.5,94400,212.5,9600,3167.6,640,4881.6,320,57466.5,40,43260043
18/146,12/22/2018,7,20,33,46,48,49,4,7,,3,3,1,1,0,1,3,0,0,2,826620,50.5,87300,142,9600,3108.5,640,3887,320,56475.5,40,35124564
18/145,12/20/2018,4,7,8,12,13,26,42,13,,2,4,3,2,1,0,0,1,8000000,2,464330,193,19200,139.9,9600,7593.2,640,4355.8,320,96243,40,36297083
18/144,12/18/2018,1,10,11,13,30,33,45,"10,30,33",,4,2,2,2,1,1,0,2,13029820,0.5,1694450,186,30360,233.5,9600,7995.3,640,5823.2,320,116725.3,40,54459223
18/143,12/15/2018,5,10,30,33,36,37,22,33,,3,3,2,0,1,3,0,0,0,0.5,2026450,49.5,109160,182,9600,3484.7,640,5711.3,320,67035.3,40,43207848
18/142,12/13/2018,1,15,21,23,24,33,39,33,,5,1,1,1,3,1,0,0,0,3.5,522700,86.5,56400,151.5,9600,4868.9,640,4075.5,320,75938.6,40,41324095
18/141,12/11/2018,7,8,10,20,33,42,22,20,,2,4,3,1,0,1,1,0.5,13401630,2,746180,84.5,47090,358.5,9600,5229.1,640,8691.8,320,88767.8,40,44543443
18/140,12/8/2018,20,27,29,40,45,48,43,"20,40",,3,3,0,1,2,1,2,0,0,0.5,1849020,43.5,113350,82.5,9600,1805.5,640,2680,320,39840.5,40,33230965
18/139,12/6/2018,8,20,32,40,44,46,34,"8,20",,0,6,1,1,0,2,2,1,68983460,2,2247990,128.5,93300,413.5,9600,7175.5,640,11153.4,320,133184.1,40,93325843
18/138,12/4/2018,8,11,14,20,22,31,19,20,,2,4,1,3,1,1,0,0,0,9.5,396630,150,66980,372.5,9600,8029.1,640,10793.3,320,152307.7,40,84935893
18/137,12/1/2018,2,20,29,32,38,39,47,,,2,4,1,1,1,3,0,0,0,1.5,1995980,95,84040,361,9600,4897.1,640,6318,320,95113.8,40,63629516
18/136,11/29/2018,14,25,31,34,36,43,35,,,3,3,0,1,1,3,1,0,0,2.5,1129210,86.5,87030,209,9600,4503.9,640,6518.9,320,83280.4,40,57384811
18/135,11/27/2018,7,8,15,27,29,38,39,8,27,4,2,2,1,2,1,0,0,0,4,495790,275.2,19210,260.5,9600,6688.6,640,6446,320,102779,40,50896557
18/134,11/24/2018,3,8,13,25,30,34,32,,,3,3,2,1,2,1,0,0,0,2.5,719920,98,48970,225.5,9600,4867.4,640,5389.3,320,85874.5,40,43749802
18/133,11/22/2018,15,16,18,22,26,48,34,,22,1,5,0,3,2,0,1,0,0,0,0,60.5,81440,154.5,9600,3807.3,640,4663.9,320,70132.1,40,40287125
18/132,11/20/2018,4,12,14,17,29,35,38,"12,14",,3,3,1,3,1,1,0,0,0,1,1873350,44.5,112260,121.5,9600,2920.3,640,3572.7,320,56869.4,40,37366055
18/131,11/17/2018,5,9,12,14,42,43,45,,,3,3,2,2,0,0,2,1,8000000,0.5,1502440,51.5,77790,147,9600,3086.5,640,3868.7,320,59444.4,40,33350413
18/130,11/15/2018,2,10,29,32,40,41,44,,,2,4,2,0,1,2,1,2,11485480,1,2013190,48.5,138360,128.5,9600,3282.4,640,4127.2,320,66305.1,40,47672483
18/129,11/13/2018,8,22,30,34,35,37,29,,,2,4,1,0,2,3,0,0,0,1,2029230,52,104060,159,9600,3272.4,640,4371.9,320,63393.5,40,41521595
18/128,11/11/2018,6,24,26,36,44,49,8,24,,1,5,1,0,2,1,2,0,0,0.5,1660960,48,92270,111,9600,3110.9,640,5022.2,320,56144.9,40,35329061
18/127,11/8/2018,9,16,22,24,40,47,17,"22,47",,2,4,1,1,2,1,1,1,33142540,4,733610,65.5,119460,184,9600,3940.5,640,5475,320,78909.7,40,56841719
18/126,11/6/2018,1,8,22,23,46,47,12,,,3,3,2,0,2,0,2,0,0,0,0,100.5,58080,245.5,9600,4755.7,640,7589.1,320,83048.3,40,50349422
18/125,11/3/2018,4,19,24,38,39,44,46,,,2,4,1,1,1,2,1,0,0,0,0,69.5,72730,130.5,9600,3313,640,4003,320,60623.1,40,38826786
18/124,11/1/2018,9,13,15,16,20,32,12,,,3,3,1,4,0,1,0,0,0,1,1586360,61,69340,143.2,9600,2821.5,640,4798.7,320,54816.1,40,34315573
18/123,10/30/2018,4,7,10,22,34,42,38,,,1,5,3,0,1,1,1,1,77995180,4,1499590,314,50940,642,9600,14783.1,640,16659.6,320,259539.6,40,139409881
18/122,10/27/2018,1,5,15,39,45,47,43,,,6,0,2,1,0,1,2,0,0,0,0,50.5,99520,106,9600,3137.6,640,3662,320,57428.8,40,37596128
18/121,10/25/2018,6,13,20,25,27,29,21,"6,20",25,4,2,1,2,3,0,0,0,0,1,1649920,62.5,70390,142.5,9600,2962,640,3748.2,320,52935.4,40,34570196
18/120,10/23/2018,6,17,20,34,36,44,15,,,1,5,1,2,0,2,1,1,32435310,2,1454710,83,93470,208,9600,4794.6,640,6091.2,320,89905.9,40,59120983
18/119,10/20/2018,10,13,22,25,40,42,5,,,2,4,1,1,2,1,1,0,0,3,852890,82,83200,284,9600,4815.4,640,7728.2,320,89441.6,40,56673773
18/118,10/16/2018,7,11,19,32,45,46,37,,,4,2,1,2,0,1,2,0,0,0,0,69,77590,129.5,9600,3264,640,3996.9,320,60782.7,40,40280013
18/117,10/14/2018,8,14,21,24,34,43,1,,14,2,4,1,1,2,1,1,0,0,4,378230,84.5,47740,196.5,9600,3992.7,640,5505.4,320,61514.7,40,36569904
18/116,10/11/2018,7,9,19,29,39,42,41,"7,9",,5,1,2,1,1,1,1,3,10274390,4.5,363180,380.7,19200,276.5,9600,10775.4,640,5615,320,100304.9,40,56622185
18/115,10/9/2018,7,9,18,27,44,45,15,44,9,4,2,2,1,1,0,2,0,0,2.5,935340,226,27590,208,9600,6611.7,640,6016,320,96568.1,40,53975783
18/114,10/6/2018,2,10,35,39,44,49,8,35,,3,3,2,0,0,2,2,0,0,1,2309630,47.5,129660,149,9600,2659.7,640,4738.2,320,55104.2,40,44024832
18/113,10/4/2018,13,19,34,35,45,46,27,13,,4,2,0,2,0,2,2,0,0,0,0,102,52130,115,9600,3299,640,3606.1,320,50780.5,40,38905297
18/112,10/2/2018,13,18,23,28,33,49,19,,,4,2,0,2,2,1,1,0.5,8000000,2.5,542950,195.9,19200,183.4,9600,5436.8,640,4691.6,320,73711,40,36647793
18/111,9/29/2018,9,31,34,35,37,38,16,,,4,2,1,0,0,5,0,1,29648760,1,2425630,150,43120,201,9600,5329.8,640,5806,320,84238.2,40,52478385
18/110,9/27/2018,14,17,30,46,48,49,36,"14,48",,2,4,0,2,1,0,3,0,0,1,2438550,53.5,121540,178,9600,3525.5,640,5047.5,320,67629.1,40,48426612
18/109,9/25/2018,5,14,20,22,24,48,4,,,1,5,1,2,2,0,1,0,0,0,0,44,106910,238.5,9600,3085.2,640,5979.4,320,57508.4,40,39632034
18/108,9/23/2018,2,13,21,23,32,40,30,40,23,3,3,1,1,2,2,0,0,0,1.5,1198130,52.5,91280,150.5,9600,3021.2,640,4259.3,320,54639.5,40,37209774
18/107,9/20/2018,5,6,17,26,40,41,46,,,3,3,2,1,1,1,1,2,41457630,6,1273070,251.5,80990,485.5,9600,12249.5,640,15018,320,230221.6,40,152730121
18/106,9/18/2018,9,11,18,23,32,48,26,"11,48",18,3,3,1,2,1,1,1,0.5,19088920,2,904080,103,46810,225.5,9600,5206.7,640,6032.5,320,87581.9,40,44773126
18/105,9/15/2018,4,6,11,33,37,48,41,48,,3,3,2,1,0,2,1,0,0,1,1888120,64.5,78060,122,9600,3248.7,640,3312.5,320,66795.2,40,38545605
18/104,9/13/2018,14,20,22,39,41,48,35,,,2,4,0,2,1,1,2,0,0,1,1958130,47,111100,107.5,9600,2247.5,640,3184.7,320,44383,40,36315128
18/103,9/11/2018,31,36,38,45,47,49,37,,,4,2,0,0,0,3,3,1.5,41665410,8.5,498470,206.5,54710,583,9600,7966,640,13571.4,320,139606.2,40,95671770
18/102,9/8/2018,7,9,12,18,41,46,33,,,3,3,2,2,0,0,2,0,0,2,1574870,107,78490,259.5,9600,6520.5,640,8303.2,320,129641.3,40,69596473
18/101,9/6/2018,17,26,30,33,38,49,47,33,,3,3,0,1,2,2,1,0,0,3,968550,69,112290,267,9600,5294,640,7073,320,98937.1,40,61961408
18/100,9/4/2018,4,5,33,36,44,47,13,,4,3,3,2,0,0,2,2,0,0,4,701220,70,106850,219.5,9600,4351.3,640,6314.8,320,88143.7,40,57383519
18/099,9/1/2018,10,13,20,26,35,45,37,,,3,3,1,2,1,1,1,0,0,2,1126340,74,81170,154.5,9600,3721.3,640,4163.2,320,67359,40,45175138
18/098,8/30/2018,4,15,21,23,44,46,13,46,,3,3,1,1,2,0,2,0,0,0,0,51.5,109350,127.5,9600,2533,640,3615.4,320,52196.6,40,39930583
18/097,8/28/2018,9,18,26,30,36,46,2,,,1,5,1,1,2,1,1,0,0,5,303780,70.5,57450,215,9600,4021.4,640,5352.2,320,66536,40,37295219
18/096,8/25/2018,3,4,19,28,31,48,27,,,3,3,2,1,1,1,1,1,17372290,0,0,49.5,108840,168,9600,3722.4,640,5333.4,320,74805.6,40,43510767
18/095,8/23/2018,12,14,22,30,38,44,34,,,0,6,0,2,2,1,1,0.5,22621950,2.5,874620,101,57730,202.9,9600,4380.4,640,6232.3,320,77537.1,40,47899633
18/094,8/21/2018,3,10,18,28,40,47,4,47,,2,4,2,1,1,1,1,0,0,0,0,64.5,83330,187.5,9600,3877.7,640,6038.7,320,76549.7,40,44522637
18/093,8/18/2018,2,14,24,37,42,47,20,,,2,4,1,1,1,1,2,0,0,1,1957200,41.5,125760,83.5,9600,2431,640,2830.4,320,47064.2,40,36081968
18/092,8/16/2018,9,13,16,27,29,41,37,,16,5,1,1,2,2,0,1,1.5,9202840,1,1934750,97,53180,161,9600,4256.4,640,4452.7,320,76568.9,40,42465474
18/091,8/14/2018,32,37,38,42,43,49,24,"38,49",,3,3,0,0,0,3,3,0,0,2,1011740,85.5,63110,100.5,9600,2861.5,640,3520.5,320,51361,40,38520803
18/090,8/11/2018,1,11,25,38,47,49,37,11,11,5,1,1,1,1,1,2,1.5,51333300,6,737250,251,46990,611,9600,11103,640,13878,320,188676.1,40,106234298
18/089,8/9/2018,8,10,11,20,21,34,13,21,,2,4,2,2,1,1,0,0,0,3,1233410,188,52480,409,9600,10063.8,640,11697.6,320,167488,40,88736859
18/088,8/7/2018,4,21,25,39,46,47,12,4,,4,2,1,0,2,1,2,0,0,2,1982660,86.5,122240,248.5,9600,5776.5,640,7916.4,320,105030.8,40,77531707
18/087,8/4/2018,4,15,23,34,37,48,30,34,4,3,3,1,1,1,2,1,0,0,0,0,82,97070,152.5,9600,4498,640,5141.9,320,84766.9,40,57867403
18/086,8/2/2018,3,5,11,34,35,45,28,,,5,1,2,1,0,2,1,0,0,0.5,2273430,116,52260,253,9600,5140.7,640,7372.4,320,89134.1,40,52404823
18/085,7/31/2018,24,27,36,43,44,46,30,43,,2,4,0,0,2,1,3,0,0,1,2645330,61.5,114700,157.5,9600,3353,640,4081,320,63819.7,40,49808124
18/084,7/28/2018,5,7,11,26,30,43,17,,,4,2,2,1,2,0,1,0.5,25797520,2,987460,106,49680,234.5,9600,5596.7,640,7198.1,320,98157,40,49131719
18/083,7/26/2018,22,32,37,44,46,49,38,"32,37",,2,4,0,0,1,2,3,0,0,0,0,48,129730,136,9600,2695.5,640,4340.5,320,53756.6,40,43847504
18/082,7/24/2018,2,16,17,27,32,37,12,37,,3,3,1,2,1,2,0,0.5,21063850,6,368360,96,61390,276.9,9600,4537.4,640,6433.1,320,76267.2,40,49746773
18/081,7/21/2018,13,14,15,37,38,44,40,,,3,3,0,3,0,2,1,0,0,1,1596690,178,23920,193.5,9600,7461.4,640,3732.8,320,67678.2,40,41170279
18/080,7/19/2018,12,16,23,25,40,42,20,,,2,4,0,2,2,1,1,0,0,0,0,53.5,81900,138.5,9600,2881.2,640,3939.9,320,53555.9,40,34471808
18/079,7/17/2018,6,10,32,36,41,48,47,36,,1,5,2,0,0,2,2,1,82939250,4.5,1699200,236.5,86210,539.5,9600,11559.2,640,15976,320,223700.8,40,153065101
18/078,7/14/2018,7,13,22,27,33,36,45,"7,33",,4,2,1,1,2,2,0,0,0,3,699910,116,48260,217.5,9600,5407.4,640,5349.5,320,91232.8,40,48689954
18/077,7/12/2018,1,5,7,8,30,33,22,8,,4,2,4,0,1,1,0,0,0,4.5,308270,183,20210,457.4,9600,9192.9,640,10540.8,320,127009.2,40,47050151
18/076,7/10/2018,6,8,29,38,41,49,2,8,,3,3,2,0,1,1,2,0,0,1.5,1423250,63.5,89650,175.5,9600,3811,640,5782.5,320,71930.1,40,45354928
18/075,7/7/2018,8,17,20,26,40,46,19,"20,40",,1,5,1,2,1,1,1,0,0,0,0,37.5,118200,119.5,9600,2337.2,640,3628,320,44979.1,40,32927491
18/074,7/5/2018,1,13,20,34,38,40,29,,,2,4,1,2,0,3,0,2,17198000,2,1364520,87,83640,181.2,9600,4508.8,640,5575.7,320,87996.3,40,55411514
18/073,7/3/2018,3,21,22,41,45,49,10,,3,5,1,1,0,2,0,3,0,0,1,2546760,69,98420,176.5,9600,3666.5,640,5403.9,320,72517.4,40,50608349
18/072,6/30/2018,5,6,16,18,30,32,27,6,30,1,5,2,2,1,1,0,0,0,1,1634120,137.5,31690,219.5,9600,5270.6,640,5825.6,320,84195.8,40,42007464
18/071,6/28/2018,6,13,23,29,38,45,41,,,4,2,1,1,2,1,1,0,0,4,472180,70.5,71440,125.5,9600,3721.6,640,3723.5,320,66613.4,40,39406627
18/070,6/26/2018,7,8,12,17,33,42,26,,,3,3,2,2,0,1,1,0,0,2,648870,72,48060,254,9600,4228.2,640,6497.6,320,77968.3,40,36758876
18/069,6/23/2018,2,9,16,18,24,46,47,"16,24",,1,5,2,2,1,0,1,1,8000000,1,1484890,50.5,78410,111.5,9600,3001.5,640,2704.5,320,56044.8,40,31438747
18/068,6/21/2018,16,23,24,31,33,34,18,"31,33",,3,3,0,1,2,3,0,1,15061670,3,605700,83.5,58030,172.5,9600,3901.2,640,4850.9,320,66071.7,40,40111452
18/067,6/19/2018,2,7,21,31,33,42,24,"7,21",,4,2,2,0,1,2,1,0,0,0,0,47.5,90400,102.5,9600,2695.8,640,3482.9,320,52768.4,40,32836452
18/066,6/17/2018,1,7,20,21,35,48,22,35,,4,2,2,1,1,1,1,1,8000000,1,1432920,74.5,51290,217,9600,3984.4,640,5601.9,320,68542.2,40,36416856
18/065,6/14/2018,2,10,24,28,35,39,27,,,2,4,2,0,2,2,0,1,20389220,7.7,277480,71.5,79680,194,9600,3964.1,640,5711.9,320,71819.1,40,45839309
18/064,6/12/2018,30,31,34,40,41,42,33,41,,2,4,0,0,1,3,2,0,0,3.5,569440,110,48310,230.5,9600,3388.4,640,5115.5,320,54285.5,40,42205621
18/063,6/9/2018,11,23,35,41,46,49,47,,,5,1,0,1,1,1,3,0,0,2,853450,39.5,115230,135.5,9600,2276.5,640,3602,320,44844.1,40,33720272
18/062,6/7/2018,5,32,34,36,38,43,25,34,,2,4,1,0,0,4,1,1,22308460,1.5,1431870,72.5,79000,209.5,9600,3832.7,640,5273.4,320,66735.6,40,45474002
18/061,6/5/2018,6,10,24,34,40,45,9,,,1,5,2,0,1,2,1,0,0,2,1021360,62,87850,204.5,9600,3534.5,640,6690.6,320,68551.7,40,44580299
18/060,6/2/2018,4,15,30,33,38,41,16,33,,3,3,1,1,1,2,1,0,0,0,0,38.5,120300,97.7,9600,2149.8,640,3446.4,320,43783.5,40,33133513
18/059,5/31/2018,3,5,28,33,40,49,32,3,,4,2,2,0,1,2,1,1,19705620,2,1025320,62,88200,166.5,9600,4095.9,640,5235.3,320,79235.7,40,44606628
18/058,5/29/2018,3,6,11,22,45,46,1,22,,3,3,2,1,1,0,2,0,0,1,1851220,54,91410,219.2,9600,3549,640,7448.6,320,70092.6,40,42824104
18/057,5/26/2018,1,12,22,40,42,44,28,12,,1,5,1,1,1,1,2,0,0,1,1538710,46.5,88240,125,9600,2491.4,640,3981,320,49330.6,40,32063463
18/056,5/24/2018,4,5,7,11,12,13,18,"7,12",,4,2,3,3,0,0,0,6.5,3722560,9,52770,417.2,19200,578.5,9600,11353.1,640,10718.9,320,132442.9,40,50418111
18/055,5/22/2018,7,12,14,22,31,33,38,14,22,3,3,1,2,1,2,0,0,0,0.5,2008380,70.5,75960,215.7,9600,5066.4,640,6338.7,320,95165.9,40,47892008
18/054,5/19/2018,14,23,29,36,37,47,25,23,,4,2,0,1,2,2,1,0,0,3,670390,51,105160,164.5,9600,2707.6,640,4107,320,54641,40,39899866
18/053,5/17/2018,3,16,23,30,43,46,26,,,3,3,1,1,2,0,2,0,0,0,0,60,75940,150.5,9600,2853.6,640,3956.5,320,52417,40,35467897
18/052,5/15/2018,5,8,9,19,32,44,39,"9,19",,3,3,3,1,0,1,1,1,8000000,3,518890,60,69180,105,9600,3832.8,640,4004,320,72123,40,35243584
